"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_1","NES_cat"
"1","HALLMARK_ADIPOGENESIS",0.000316639209555205,0.00175910671975114,0.49849310876659,-0.412957091271925,-1.58650464379702,197,"29103,217,58472,130814,604,6817,5209,5447,334,1031,8082,10140,7263,6453,10010,134147,400916,6391,56894,9908,6342,5264,5495,10313,112,7905,4189,1282,369,7086,9131,204,51727,26994,718,128338,51129,3417,1349,10124,4023,29796,226,3459,23786,84274,1376,6647,64225,1384,55177,11194,3679,6573,8436,7532,5195,23344,977,3421,6239,1891,5236,34,539,35","Down"
"2","HALLMARK_ALLOGRAFT_REJECTION",0.00800329705553577,0.0200082426388394,0.380730400722792,-0.372912762718526,-1.43517381810717,198,"2069,3108,972,7042,2634,2149,822,3122,3689,3561,958,7096,7098,1520,3600,10333,3109,8915,7453,3625,586,3455,896,2000,3665,4065,8477,7076,961,1435,3606,4690","Down"
"3","HALLMARK_ANDROGEN_RESPONSE",0.00871829983254317,0.0207578567441504,0.380730400722792,-0.441827963923608,-1.55384330621719,97,"3248,563,7113,56937,8611,8821,6303,10611,9590,220,6414,57178,3856,2936,3880,896,79689,4189,6197,11057,9871,3685,10461,25803,6319,3638,2005,3156,1718,9455,2289,27347,6728,354,11099","Down"
"4","HALLMARK_ANGIOGENESIS",0.052064631956912,0.0929725570659143,0.266350657088526,-0.505731028020203,-1.48918625209943,35,"8829,6275,5104,1462,1290,6372,351,7422,7076,4060,3685,27242,4023,5196,4043","Down"
"5","HALLMARK_APICAL_SURFACE",0.0030279155908357,0.00946223622136156,0.431707695803346,-0.565851536674557,-1.72877811380286,44,"2947,3561,1946,202,27076,3315,2625,351,55959,5314,357,2619","Down"
"6","HALLMARK_APOPTOSIS",0.00054418980149509,0.00247359000679587,0.477270815362862,-0.430483012479231,-1.62052370752504,161,"2069,8743,1191,7042,2934,5327,2149,7077,6303,1491,10628,10950,330,6304,8915,929,331,3958,5058,8837,2769,4092,51330,3315,2936,5534,665,351,1806,7076,4255,4060,706,5526,3606,960,3659,857,637,3669,5663,3459,994,3482,2064,842,835,2065,3875,840,6647,10018,10682,599,2944,1960,7124,952,839","Down"
"7","HALLMARK_BILE_ACID_METABOLISM",0.000252777453606791,0.00157985908504245,0.49849310876659,-0.495936935715411,-1.77520432390549,109,"216,51703,5947,80270,55825,51170,5002,83594,6820,51302,3418,196743,6310,10133,373156,5194,9023,6342,5191,5264,5825,114327,8630,3417,9963,1718,8856,64577,6647,51015,21","Down"
"8","HALLMARK_COAGULATION",0.0350655245016213,0.0701310490032426,0.321775918075361,-0.373946704909044,-1.37931378966861,136,"4316,1803,1191,726,2934,5327,1397,11202,1512,3172,3426,11098,4312,5641,7057,8309,5627,7076,8754,718,5265,553115,7980,1675,8237,10411,5879,3920,824,842,9948,283,3673,5196,5328","Down"
"9","HALLMARK_COMPLEMENT",0.169642857142857,0.217490842490843,0.186432558434075,0.26575013731475,1.11373872058868,196,"5055,2534,2335,5321,5054,1847,1075,54704,868,9732,8851,2152,1604,966,9097,4973,716,10404,1514,1508,6280,91133,64145,23414,715,629,6352,5894,836","Up"
"10","HALLMARK_DNA_REPAIR",0.0110393526489356,0.0250894378384901,0.380730400722792,0.359693562468902,1.45617841459852,146,"3059,6431,8731,50484,50808,4799,11051,6621,9013,7508,5424,51160,2965,51082,1687,8480,4090,353,2237,2067,6749,5432,1716,3615,2071,1643,10623,10978,2962,56655,5983,9328,2967,1854,4059,51497,9883,7157,5985,5433,2958,5438,55290,25920,2068,30834,7298,1479,2073,5429,5437,10714,4882,5888","Up"
"11","HALLMARK_E2F_TARGETS",8.46933650870462e-05,0.000846933650870462,0.538434096309916,0.396279951492511,1.6605565145063,195,"79075,3609,11168,11051,81624,5424,4683,4673,147841,5810,6941,8726,10535,10212,10797,54556,29028,79677,10615,7514,6749,4999,675,10492,1786,84296,146909,4174,993,9212,56655,332,5981,5983,11340,1965,10051,1854,7157,10664,5885,580,7153,7037,23594,4171,5591,9221,7083,64858,1434,64785,9126,9125,55646,9918,4361,9319,8243,7465,7283,9972,10606,3070,11200,51747,9833,29893,3148,5902,197335,29089,672,84312,10274,4292,10527,10714,54962,10248,203068","Up"
"12","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0691729323308271,0.11926367643246,0.208955027549354,-0.328859175423212,-1.26563133686027,198,"3576,2014,3486,3398,374,6422,2669,56937,5021,822,7052,6303,1462,4982,3371,4312,2919,3600,7057,26577,1290,3693,2247,7431,3688,7058,6641,6372,5645,7045,1284,51330,10486,6382,7422,1282,1278,7076,22943,4060,2882,25878,3685,6443,5999,11010,960","Down"
"13","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00281247391538755,0.00937491305129184,0.431707695803346,-0.392196243736404,-1.50938727992884,198,"4582,771,8645,2444,374,6505,11145,8416,8614,55638,64699,399665,5029,1999,54020,11031,7052,11098,9249,22996,91683,2717,79083,6820,10140,221,9060,27134,5655,4681,3625,3856,23052,3880,120,645,3898,3280,11057,55793,29984,7164,23329,960,18,23596,7033,4299,6513,3705,794,7466,3487,22876,2274,8553,5174,9022,2289,55540,5979,25987,3875,79875,8204,1960,3866,21","Down"
"14","HALLMARK_ESTROGEN_RESPONSE_LATE",0.000184612951237298,0.00131866393740928,0.518848077743792,-0.422392442830036,-1.62823889021455,200,"10551,3398,771,8645,2444,374,11145,11012,8416,64699,399665,5104,11031,2261,11098,12,2852,7358,64065,10950,2717,6820,10140,7263,221,9060,27075,27134,224,3418,5655,8309,4681,57834,3880,120,4192,645,9215,11057,6768,7164,5265,960,4338,23596,7033,4299,7980,9135,857,3705,7466,2582,3487,3669,5174,9022,9455,2289,3251,55540,10538,5979,10733,8204","Down"
"15","HALLMARK_FATTY_ACID_METABOLISM",0.0510046367851623,0.0929725570659143,0.248911114434702,-0.35090270275646,-1.31456545959609,155,"216,3248,8876,51703,218,873,2052,6296,51170,7358,1429,224,6391,1374,1962,5092,57515,6281,7389,3417,3155,126,1718,874,1543,226,2954,2819,1376,1384,670,594,58505,8801,5720,3421,3052,1891,34,2110,35,60481,3939,210,658,26275,3028,3015,7390,3033,3320,5805,3158,762,54884,51,23173,644,8802,5465,765,6584","Down"
